sample	coverage	full_coverage	relative_abundance	level	taxonomy
SRR34514425	0	4737.42	100.0	root	Root
SRR34514425	9.53	4707.51	99.37	domain	Root; d__Bacteria
SRR34514425	5.56	29.91	0.63	domain	Root; d__Archaea
SRR34514425	0.5	76.21	1.61	phylum	Root; d__Bacteria; p__Pseudomonadota
SRR34514425	3.02	2411.45	50.9	phylum	Root; d__Bacteria; p__Bacillota
SRR34514425	2.13	161.11	3.4	phylum	Root; d__Bacteria; p__Actinomycetota
SRR34514425	0	1224.43	25.85	phylum	Root; d__Bacteria; p__Bacteroidota
SRR34514425	0	205.21	4.33	phylum	Root; d__Bacteria; p__Verrucomicrobiota
SRR34514425	0.22	31.01	0.65	phylum	Root; d__Bacteria; p__Desulfobacterota
SRR34514425	0	566.38	11.96	phylum	Root; d__Bacteria; p__Bacillota_I
SRR34514425	0	21.46	0.45	phylum	Root; d__Bacteria; p__Cyanobacteriota
SRR34514425	0.05	0.72	0.02	phylum	Root; d__Bacteria; p__Patescibacteriota
SRR34514425	0	21.76	0.46	phylum	Root; d__Archaea; p__Methanobacteriota
SRR34514425	1.12	1.12	0.02	phylum	Root; d__Archaea; p__Thermoproteota
SRR34514425	0	1.47	0.03	phylum	Root; d__Archaea; p__Nanobdellota
SRR34514425	0.88	26.62	0.56	class	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
SRR34514425	0.17	49.09	1.04	class	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
SRR34514425	0.16	22.24	0.47	class	Root; d__Bacteria; p__Bacillota; c__Bacilli
SRR34514425	20.28	2294.85	48.44	class	Root; d__Bacteria; p__Bacillota; c__Clostridia
SRR34514425	0.87	86.74	1.83	class	Root; d__Bacteria; p__Bacillota; c__Negativicutes
SRR34514425	0	2.42	0.05	class	Root; d__Bacteria; p__Bacillota; c__Dehalobacteriia
SRR34514425	0.09	1.22	0.03	class	Root; d__Bacteria; p__Bacillota; c__Peptococcia
SRR34514425	0	0.96	0.02	class	Root; d__Bacteria; p__Bacillota; c__DTU025
SRR34514425	0.06	29.65	0.63	class	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
SRR34514425	0	129.33	2.73	class	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
SRR34514425	0.23	1224.43	25.85	class	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
SRR34514425	0.9	184.74	3.9	class	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
SRR34514425	0	20.47	0.43	class	Root; d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria
SRR34514425	0	30.79	0.65	class	Root; d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia
SRR34514425	3.56	566.38	11.96	class	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A
SRR34514425	0.06	21.46	0.45	class	Root; d__Bacteria; p__Cyanobacteriota; c__Vampirovibrionia
SRR34514425	0.05	0.67	0.01	class	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia
SRR34514425	0	21.76	0.46	class	Root; d__Archaea; p__Methanobacteriota; c__Methanobacteria
SRR34514425	1.47	1.47	0.03	class	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
SRR34514425	0.87	1.84	0.04	order	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales
SRR34514425	0.79	23.9	0.5	order	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
SRR34514425	0	48.92	1.03	order	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__RF32
SRR34514425	0.79	22.08	0.47	order	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
SRR34514425	0.34	18.5	0.39	order	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Peptostreptococcales
SRR34514425	0	4.44	0.09	order	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Clostridiales
SRR34514425	2.06	556.5	11.75	order	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Lachnospirales
SRR34514425	0	1365.35	28.82	order	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales
SRR34514425	3.65	249.71	5.27	order	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Christensenellales
SRR34514425	0.74	5.16	0.11	order	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__UBA1381
SRR34514425	0.18	72.93	1.54	order	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__TANB77
SRR34514425	0	1.64	0.03	order	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__UMGS1810
SRR34514425	0	0.34	0.01	order	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__HGM11514
SRR34514425	0	73.71	1.56	order	Root; d__Bacteria; p__Bacillota; c__Negativicutes; o__Acidaminococcales
SRR34514425	0.68	12.16	0.26	order	Root; d__Bacteria; p__Bacillota; c__Negativicutes; o__Veillonellales
SRR34514425	0.59	2.42	0.05	order	Root; d__Bacteria; p__Bacillota; c__Dehalobacteriia; o__UBA4068
SRR34514425	0	0.45	0.01	order	Root; d__Bacteria; p__Bacillota; c__Peptococcia; o__Peptococcales
SRR34514425	0	0.68	0.01	order	Root; d__Bacteria; p__Bacillota; c__Peptococcia; o__DRI-13
SRR34514425	0	0.96	0.02	order	Root; d__Bacteria; p__Bacillota; c__DTU025; o__DTU025
SRR34514425	1.7	29.59	0.62	order	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales
SRR34514425	2.85	129.33	2.73	order	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
SRR34514425	7.59	1214.77	25.64	order	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
SRR34514425	0.06	9.43	0.2	order	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales
SRR34514425	0	178.16	3.76	order	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Verrucomicrobiales
SRR34514425	0	5.68	0.12	order	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Opitutales
SRR34514425	0.55	20.47	0.43	order	Root; d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales
SRR34514425	0	30.79	0.65	order	Root; d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia; o__Desulfovibrionales
